,City,Country Code,City_Number,Lat,Lng,Temp_F,Humidity (%),Cloudiness (%),Wind Speed (mph)
371,razdolinsk,ru,1493756,58.42,94.62,34.64,90.0,88.0,14.0
372,lavrentiya,ru,4031637,65.58,-170.99,24.29,96.0,64.0,6.4
373,sentyabrskiy,ru,,,,,,,
374,tsihombe,mg,,,,,,,
375,puerto ayora,ec,3652764,-0.74,-90.35,83.88,70.0,20.0,10.29
376,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
377,charters towers,au,2171722,-20.07,146.27,67.49,77.0,0.0,8.08
378,mataura,pf,,,,,,,
379,aklavik,ca,5882953,68.22,-135.01,5.0,77.0,90.0,9.17
380,port alfred,za,964432,-33.59,26.89,64.0,84.0,48.0,5.99
